No.,Fe,Cr,Ni,Mo,W,N,Nb,C,Si,Mn,Cu,P,S,Al,V,Ta,Re,Ce,Ti,Co,B,Mg,Y,Gd,"Epit, mV (SCE)",Test Temp (C),Test Solution,[Cl-] M,pH,Test Method,Scan Rate mV/s,Heat treatment,Microstructures,Comments,Reference,Material class
1,69.71,18,10,NA,0,0,0,0.03,1,1,0.2,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0,287,50,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S30403 (304L),49,Fe Alloy
2,69.71,18,10,NA,0,0,0,0.03,1,1,0.2,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0,260,50,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S30403 (304L),49,Fe Alloy
3,69.71,18,10,NA,0,0,0,0.03,1,1,0.2,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0,218,50,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S30403 (304L),49,Fe Alloy
4,69.71,18,10,NA,0,0,0,0.03,1,1,0.2,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0,140,50,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S30403 (304L),49,Fe Alloy
5,69.71,18,10,NA,0,NA,0,0.03,1,1,0.2,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0,94,50,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S30403 (304L),49,Fe Alloy
6,67.54,16,11,3,0,NA,0,0.02,1,1,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,344,50,"300 ppm NaCl, pH 7.8",0.0051,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31603 (316L),49,Fe Alloy
7,67.54,16,11,3,0,NA,0,0.02,1,1,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,330,50,"500 ppm NaCl, pH 7.8",0.0086,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31603 (316L),49,Fe Alloy
8,67.54,16,11,3,0,NA,0,0.02,1,1,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,284,50,"1000 ppm NaCl, pH 7.8",0.0171,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31603 (316L),49,Fe Alloy
9,67.54,16,11,3,0,NA,0,0.02,1,1,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,232,50,"5000 ppm NaCl, pH 7.8",0.0856,7.8,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31603 (316L),49,Fe Alloy
10,67.54,16,11,3,0,NA,0,0.02,1,1,0.2,0.05,0.2,0,0,0,0,0,0,0,0,0,0,0,154,50,Seawater Natural,0.546,8.2,"Potentiodynamic Polarization with exposed area of 1 cm2. Potentiodynamic polarization experiments were carried out using a scan rate of 0.1 mV/s commencing at a potential about 250 mV more active than the stable OCP. Before starting the polarization scan, the specimen in the sample holder (WE) was left in the cell for about 1 h to attain a steady state which is shown by a constant potential and current at the beginning of the experiment. The potcntiodynamic runs were programmed such that upon attaining a current density of 25µA/cm^2, the scan direction was reversed and the potentials were scanned back to the starting potential.  ",0.1,None,NA,S31603 (316L),49,Fe Alloy
